ProductId,ProductName,PriceTableName,ListPrice,SalePrice,DESCR_TIPO_FAST,CODPROD,VLRUNIT
1422,ARL5310 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4738,4738,Distribuição,1422,47.38
1423,ARL6090 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1449,1449,Distribuição,1423,14.49
1424,ARL6091 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1181,1181,Distribuição,1424,11.81
1425,ARL6093 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2634,2634,Distribuição,1425,26.34
1426,ARL6095 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1837,1837,Distribuição,1426,18.37
1427,ARL6096 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1007,1007,Distribuição,1427,10.07
1428,ARL8834 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),729,729,Distribuição,1428,7.29
1429,ARL8838 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2232,2232,Distribuição,1429,22.32
1430,ARL8839 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1820,1820,Distribuição,1430,18.2
1431,ARL8840 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2093,2093,Distribuição,1431,20.93
1432,ARL9600 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2975,2975,Distribuição,1432,29.75
1433,ARL9603 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1432,1432,Distribuição,1433,14.32
1434,ARL9605 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2174,2174,Distribuição,1434,21.74
1435,ARL9606 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3626,3626,Distribuição,1435,36.26
1436,ARS1013 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),6414,6414,Distribuição,1436,64.14
1437,ARS1029 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3388,3388,Distribuição,1437,33.88
1438,ARS5673 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),8952,8952,Distribuição,1438,89.52
1439,ARS7065 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5082,5082,Distribuição,1439,50.82
1440,ARS7109 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3072,3072,Distribuição,1440,30.72
1441,ARS8842 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3993,3993,Distribuição,1441,39.93
1442,ARS9837 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),9673,9673,Distribuição,1442,96.73
1443,ARS9840 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),13198,13198,Distribuição,1443,131.98
1444,AS801 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3090,3090,Distribuição,1444,30.9
1445,ASR203 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4497,4497,Distribuição,1445,44.97
1446,ASR807 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3234,3234,Distribuição,1446,32.34
1450,FC161 - FILTRO VENDER O PAR,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),982,982,Distribuição,1450,9.82
1451,FC164 - FILTRO VENDER O PAR,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1344,1344,Distribuição,1451,13.44
1452,FC165 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1447,1447,Distribuição,1452,14.47
1455,GI 02/1 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1613,1613,Distribuição,1455,16.13
1456,GI04/7 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),958,958,Distribuição,1456,9.58
1457,GI06/7 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1707,1707,Distribuição,1457,17.07
1458,GI07/1 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1580,1580,Distribuição,1458,15.8
1459,GI10 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5460,5460,Distribuição,1459,54.6
1460,GU86 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),433,433,Distribuição,1460,4.33
